Timestamp,RA,Dec
01:09.8,199.8684102,31.39244393
01:09.9,200.3830479,32.01766126
01:10.0,200.3830479,32.01766126
01:10.1,200.8033286,32.528101
01:10.2,200.8033286,32.528101
01:10.4,201.3250571,33.1643781
01:10.5,201.3250571,33.1643781
01:10.6,201.6958558,33.61704772
01:10.7,201.6958558,33.61704772
01:10.8,202.2156266,34.24857839
01:10.9,202.2156266,34.24857839
01:11.0,202.6046055,34.72181384
01:11.2,202.6046055,34.72181384
01:11.2,203.1542494,35.38895642
01:11.4,203.1542494,35.38895642
01:11.4,203.6843425,36.03312502
01:11.6,203.6843425,36.03312502
01:11.7,204.0836702,36.5214028
01:11.8,204.0836702,36.5214028
01:11.8,204.0836702,36.5214028
01:12.0,204.8692851,37.47738517
01:12.1,204.8692851,37.47738517
01:12.2,204.8692851,37.47738517
01:12.4,205.541706,38.29486159
01:12.4,205.541706,38.29486159
01:12.6,206.0612591,38.92793443
01:12.6,206.0612591,38.92793443
01:12.7,206.0612591,38.92793443
01:12.9,206.5814433,39.56102602
01:13.0,207.1022376,40.19489514
01:13.1,207.1022376,40.19489514
01:13.2,207.1022376,40.19489514
01:13.3,207.647704,40.85963561
01:13.4,207.647704,40.85963561
01:13.5,208.1730137,41.49588124
01:13.6,208.1730137,41.49588124
01:13.8,208.6969638,42.13370548
01:13.8,208.6969638,42.13370548
01:14.0,208.6969638,42.61642408
01:14.1,209.0921744,42.61642408
01:14.2,209.6160624,43.2542444
01:14.3,209.6160624,43.2542444
01:14.4,209.6160624,43.2542444
01:14.5,210.2971889,44.08277932
01:14.6,210.2971889,44.08277932
01:14.7,210.6923189,44.56391204
01:14.8,210.6923189,44.56391204
01:14.9,211.2303809,45.21993305
01:15.0,211.2303809,45.21993305
01:15.2,211.748261,45.85062119
01:15.3,211.748261,45.85062119
01:15.4,212.1387573,46.32540589
01:15.5,212.1387573,46.32540589
01:15.7,212.7754509,47.10170686
01:15.7,212.7754509,47.10170686
01:15.9,213.1723801,47.58599232
01:15.9,213.1723801,47.58599232
01:16.1,213.6939962,48.21905266
01:16.2,213.6939962,48.21905266
01:16.3,214.0941123,48.70729664
01:16.4,214.0941123,48.70729664
01:16.5,214.7617465,49.52233984
01:16.6,214.7617465,49.52233984
01:16.7,214.7617465,49.52233984
01:16.9,215.4078776,50.30890904
01:17.0,215.4078776,50.30890904
01:17.1,215.8039575,50.7908034
01:17.2,215.8039575,50.7908034
01:17.3,215.8039575,50.7908034
01:17.5,216.6051018,51.76727346
01:17.5,216.6051018,51.76727346
01:17.7,217.1185599,52.39399547
01:17.7,217.1185599,52.39399547
01:17.9,217.1185599,52.39399547
01:18.0,217.6579173,53.05154371
01:18.1,217.6579173,53.05154371
01:18.2,218.195248,53.7067287
01:18.3,218.195248,53.7067287
01:18.4,218.720829,54.34610601
01:18.5,218.720829,54.34610601
01:18.6,219.2450204,54.98704013
01:18.7,219.2450204,54.98704013
01:18.8,219.6381164,55.46733822
01:18.9,219.6381164,55.46733822
01:19.1,220.1589399,56.10274553
01:19.1,220.1589399,56.10274553
01:19.3,220.6816085,56.74050959
01:19.4,220.6816085,56.74050959
01:19.5,220.6816085,56.74050959
01:19.6,221.0784129,57.22396121
01:19.7,221.6268341,57.89416975
01:19.8,221.6268341,57.89416975
01:19.9,221.6268341,58.3436069
01:20.0,221.9956252,58.3436069
01:20.2,222.5393325,59.00746604
01:20.2,222.5393325,59.00746604
01:20.3,222.5393325,59.00746604
01:20.5,223.1787638,59.78763464
01:20.5,223.1787638,59.78763464
01:20.7,223.6923842,60.41509467
01:20.8,223.6923842,60.41509467
01:20.9,224.2388757,61.08528351
01:21.0,224.2388757,61.08528351
01:21.2,224.6318573,61.5623933
01:21.2,224.6318573,61.5623933
01:21.3,224.6318573,61.5623933
01:21.4,225.1554097,62.20486603
01:21.5,225.1554097,62.20486603
01:21.7,225.7027804,62.87188026
01:21.8,225.7027804,62.87188026
01:21.9,226.2176122,63.50248057
01:22.0,226.2176122,63.50248057
